"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.1 for 2021-2022 @t1","0"
"c","print(""\t2) Bisect Method"")",,"169","741220","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","# Jake Daniels
# MATH 4610

from Methods.fnIter import functionalIteration
from Methods.bisect import bisectMethod

print(""Methods"")
print(""\t1) Fixed Point Iteration"")
print(""\t2) Bisect Method"")


choice = eval(input(""What method do you want to do? ""))
if choice == 1:
    functionalIteration()
elif choice == 2:
    bisectMethod()
"c","print(""\t3) Newton's Method"")",,"239","1922567","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
","","270","1924308","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"p","print(""\t3) Newton's Method"")",,"269","1925121","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","print(""\t3) Newton's Method"")","","269","1925121","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","3","278","1927272","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","4","","278","1927502","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","4",,"279","1927504","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","279","1927533","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","279","1929298","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","s","288","1929298","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","'","287","1929471","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","n","286","1929591","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","o","285","1929748","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","t","284","1929913","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","w","283","1930057","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","e","282","1930195","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","N","281","1930580","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","S","","281","1930815","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","S",,"282","1930816","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","283","1930825","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","282","1930938","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","282","1930939","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"283","1930938","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","c","","283","1931188","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","c",,"284","1931188","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","a","","284","1931311","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","a",,"285","1931311","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","285","1931477","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"286","1931484","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","286","1931533","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"287","1931533","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","    
","","471","1934214","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","474","1934878","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","   ","471","1934878","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","471","1935180","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"472","1935180","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","282","1935190","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","ecant","282","1935190","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","ecant","","282","1935191","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","282","1935191","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","","467","1935190","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","468","1935191","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","472","1935332","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","l","","472","1935333","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","l",,"473","1935357","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","473","1935492","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"474","1935508","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f","","474","1935572","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","f",,"475","1935607","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","475","1935718","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"476","1935718","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","c","","476","1935916","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","c",,"477","1935918","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","477","1935946","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","477","1936008","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","h","","477","1936009","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","h",,"478","1936009","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","478","1936009","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","478","1936125","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","478","1936126","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"479","1936134","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","479","1936185","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"480","1936185","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","c","","480","1936269","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","c",,"481","1936277","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","481","1936325","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"482","1936335","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","482","1936441","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"483","1936441","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","=","","483","1937120","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","=",,"484","1937127","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","=","","484","1937508","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","=",,"485","1937508","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","485","1937791","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"486","1937791","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","4","","486","1938074","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","4",,"487","1938074","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",":","","487","1938444","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",":",,"488","1938445","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
